Uudenmaan vaalipiiri,Keskusta,45,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Keskusta,48,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa"
Uudenmaan vaalipiiri,Keskusta,40,Mies,Suomi,korkeakoulututkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Keskusta,52,Mies,Suomi,ammattitutkinto,suomi
Uudenmaan vaalipiiri,Keskusta,45,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa"
Uudenmaan vaalipiiri,Keskusta,26,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Keskusta,34,Nainen,Suomi,korkeakoulututkinto,suomi
Uudenmaan vaalipiiri,Keskusta,40,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Keskusta,40,Mies,Muu,korkeakoulututkinto,"suomi,englanti,saksa,joku muu"
Uudenmaan vaalipiiri,Keskusta,64,-,-,korkeakoulututkinto,suomi
Uudenmaan vaalipiiri,Keskusta,30,Mies,Suomi,korkeakoulututkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Keskusta,67,-,-,peruskoulu,suomi
Uudenmaan vaalipiiri,Keskusta,47,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,venäjä"
Uudenmaan vaalipiiri,Keskusta,81,Nainen,Suomi,ammattitutkinto,suomi
Uudenmaan vaalipiiri,Keskusta,58,Mies,Suomi,ammattitutkinto,"ruotsi,englanti"
Uudenmaan vaalipiiri,Keskusta,45,Nainen,Suomi,ammattitutkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Keskusta,45,Nainen,Suomi,joku muu,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Keskusta,39,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Keskusta,56,Nainen,Suomi,korkeakoulututkinto,suomi
Uudenmaan vaalipiiri,Keskusta,45,Nainen,Suomi,korkeakoulututkinto,"ruotsi,englanti,joku muu"
Uudenmaan vaalipiiri,Keskusta,38,Nainen,Suomi,korkeakoulututkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Keskusta,36,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Keskusta,42,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Keskusta,44,Nainen,Suomi,korkeakoulututkinto,suomi
Uudenmaan vaalipiiri,Keskusta,28,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa,ranska,joku muu"
Uudenmaan vaalipiiri,Keskusta,29,Mies,Suomi,-,-
Uudenmaan vaalipiiri,Keskusta,60,Nainen,Muu,korkeakoulututkinto,"suomi,englanti,venäjä,viro"
Uudenmaan vaalipiiri,Keskusta,19,Mies,Suomi,ylioppilas,"suomi,ruotsi,englanti,saksa"
Uudenmaan vaalipiiri,Keskusta,63,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Keskusta,43,Mies,Suomi,ylioppilas,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,44,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa"
Uudenmaan vaalipiiri,Kokoomus,50,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,62,Mies,Suomi,ylioppilas,"suomi,ruotsi,englanti,saksa"
Uudenmaan vaalipiiri,Kokoomus,56,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,venäjä"
Uudenmaan vaalipiiri,Kokoomus,61,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,59,Mies,Suomi,korkeakoulututkinto,"ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,46,Mies,Suomi,ammattitutkinto,suomi
Uudenmaan vaalipiiri,Kokoomus,40,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa,ranska"
Uudenmaan vaalipiiri,Kokoomus,52,Nainen,Suomi,korkeakoulututkinto,"ruotsi,englanti,saksa,ranska,venäjä,espanja,italia"
Uudenmaan vaalipiiri,Kokoomus,44,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,53,Nainen,Suomi,joku muu,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,49,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa"
Uudenmaan vaalipiiri,Kokoomus,74,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa,ranska"
Uudenmaan vaalipiiri,Kokoomus,37,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa,ranska"
Uudenmaan vaalipiiri,Kokoomus,40,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,39,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,venäjä"
Uudenmaan vaalipiiri,Kokoomus,52,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,53,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,34,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa"
Uudenmaan vaalipiiri,Kokoomus,55,-,-,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,29,Nainen,Suomi,ylioppilas,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,27,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kokoomus,66,-,-,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa"
Uudenmaan vaalipiiri,Kokoomus,37,Mies,Suomi,korkeakoulututkinto,"suomi,englanti"
